Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0603,4,C,
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",0603,12,LED,
"J1, J2",PinSocket_1x09_P2.54mm_Horizontal_EDITED,2,Conn_01x09_Socket,
"J10, J11, J12, J9",PinHeader_1x03_P2.54mm_Vertical_EDITED,4,Conn_01x03_Socket,
"J3, J4, J5, J6",PinHeader_1x09_P2.54mm_Horizontal_EDITED,4,Conn_01x09_Socket,
J7,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,Conn_01x02_Socket,
J8,JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal,1,Conn_01x04_Socket,
"Q1, Q10, Q11, Q12, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",0603,12,Q_Photo_NPN,
Q13,TO-251-3-1EP_Horizontal_TabDown,1,NMOS,
"R1, R10, R10D1, R11, R11D1, R12, R12D1, R1D1, R2, R2D1, R3, R3D1, R4, R4D1, R5, R5D1, R6, R6D1, R7, R7D1, R8, R8D1, R9, R9D1",0603,24,R,
"R13, R14",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,R,
"U1, U2, U3, U4",CERDIP-16_W7.62mm_SideBrazed_LongPads_pin_EDITED,4,4051,
U5,名称未設定,1,~,
